geocofr:name,geocifr:name,geocifr:zipCode,geocifr:idStat,geocigrfr:name,geon3fr:name,geon2fr:name,geocofr:idIso,geon3fr:idIso,geon3fr:idStat,geon2fr:idIso,geon2fr:idStat,geocofr:statisticalInstitute,geobofr:name
France,Achenheim,67204,67001,CC les Châteaux,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,INSEE,testarrdt
France,Adamswiller,67320,67002,CC de l'Alsace Bossue,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Albé,67220,67003,CC du Canton de Villé,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Allenwiller,67310,67004,CC du Pays de Marmoutier-Sommerau,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Alteckendorf,67270,67005,CC du Pays de la Zorn,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Altenheim,67490,67006,CC de la Région de Saverne,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Altorf,67120,67008,CC de la Région de Molsheim-Mutzig,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Altwiller,67260,67009,CC du Pays de Sarre Union,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Andlau,67140,67010,CC Barr-Bernstein,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Artolsheim,67390,67011,CC du Ried de Marckolsheim,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Aschbach,67250,67012,CC de l'Outre-Forêt,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Asswiller,67320,67013,CC de l'Alsace Bossue,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Auenheim,67480,67014,CC du Pays Rhénan,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Avolsheim,67120,67016,CC de la Région de Molsheim-Mutzig,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Baerendorf,67320,67017,CC de l'Alsace Bossue,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Balbronn,67310,67018,CC des Coteaux de la Mossig,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Baldenheim,67600,67019,CC de Sélestat,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Barembach,67130,67020,CC de la Vallée de la Bruche,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Barr,67140,67021,CC Barr-Bernstein,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Bassemberg,67220,67022,CC du Canton de Villé,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
France,Batzendorf,67500,67023,CC de la Région de Haguenau,Bas-Rhin,Alsace,FR,FR-67,67,FR-A,42,,
